GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
0100000US,,United States,310M300US17900,17900,"United States - Columbia, SC Metro Area","Columbia, SC Metro Area",767598,767476,769685,776454,783462,791164,799106,809147,817443,825033
0100000US,,United States,310M300US17980,17980,"United States - Columbus, GA-AL Metro Area","Columbus, GA-AL Metro Area",294865,295531,296507,302453,310072,315784,313038,310545,306712,303811
0100000US,,United States,310M300US18020,18020,"United States - Columbus, IN Metro Area","Columbus, IN Metro Area",76794,76786,76809,77579,78914,79572,80350,81286,81873,82040
0100000US,,United States,310M300US18140,18140,"United States - Columbus, OH Metro Area","Columbus, OH Metro Area",1901974,1902001,1906365,1926142,1946644,1971120,1998460,2023198,2046977,2078725
0100000US,,United States,310M300US18580,18580,"United States - Corpus Christi, TX Metro Area","Corpus Christi, TX Metro Area",428185,428188,427872,430908,436575,442812,447671,452355,454066,454008
0100000US,,United States,310M300US18700,18700,"United States - Corvallis, OR Metro Area","Corvallis, OR Metro Area",85579,85592,85561,85976,86368,85934,86956,88106,89296,90951
0100000US,,United States,310M300US18880,18880,"United States - Crestview-Fort Walton Beach-Destin, FL Metro Area","Crestview-Fort Walton Beach-Destin, FL Metro Area",235865,235865,235927,238668,246972,251914,255831,260796,265355,271346
0100000US,,United States,310M300US19060,19060,"United States - Cumberland, MD-WV Metro Area","Cumberland, MD-WV Metro Area",103299,103261,103161,102615,101821,101268,100576,99864,99516,98837
0100000US,,United States,310M300US19100,19100,"United States - Dallas-Fort Worth-Arlington, TX Metro Area","Dallas-Fort Worth-Arlington, TX Metro Area",6426214,6426231,6451833,6571537,6706020,6817243,6950715,7101031,7253424,7399662
0100000US,,United States,314M300US1910019124,1910019124,"United States - Dallas-Fort Worth-Arlington, TX Metro Area - Dallas-Plano-Irving, TX Metro Division","Dallas-Plano-Irving, TX Metro Division",4230520,4228958,4246983,4333377,4429673,4507349,4602351,4705624,4809999,4911124
0100000US,,United States,314M300US1910023104,1910023104,"United States - Dallas-Fort Worth-Arlington, TX Metro Area - Fort Worth-Arlington, TX Metro Division","Fort Worth-Arlington, TX Metro Division",2195694,2197273,2204850,2238160,2276347,2309894,2348364,2395407,2443425,2488538
0100000US,,United States,310M300US19140,19140,"United States - Dalton, GA Metro Area","Dalton, GA Metro Area",142227,142227,142315,142466,142528,142233,142767,143523,144074,144440
0100000US,,United States,310M300US19180,19180,"United States - Danville, IL Metro Area","Danville, IL Metro Area",81625,81625,81639,81399,80823,80578,79800,79187,78560,77909
0100000US,,United States,310M300US19300,19300,"United States - Daphne-Fairhope-Foley, AL Metro Area","Daphne-Fairhope-Foley, AL Metro Area",182265,182265,183110,186534,190048,194736,199064,202863,207509,212628
0100000US,,United States,310M300US19340,19340,"United States - Davenport-Moline-Rock Island, IA-IL Metro Area","Davenport-Moline-Rock Island, IA-IL Metro Area",379690,379689,379741,380509,382269,383597,383814,383365,382671,382263
0100000US,,United States,310M300US19380,19380,"United States - Dayton, OH Metro Area","Dayton, OH Metro Area",799232,799251,799639,800690,801382,800609,800264,799293,800886,803416
0100000US,,United States,310M300US19460,19460,"United States - Decatur, AL Metro Area","Decatur, AL Metro Area",153829,153825,153949,154054,153880,153114,152856,152336,152051,151867
0100000US,,United States,310M300US19500,19500,"United States - Decatur, IL Metro Area","Decatur, IL Metro Area",110768,110768,110777,110649,110105,109533,108529,107419,106651,105801
